"topic"	"V1"	"V2"	"context"
"motor/noun/ad19990109/8014"	10.5518992803883	-18.0069432476204	"Als <font color=red><b>motoren</b></font> zijn onder meer een V8 en twee zescilinders verkrijgbaar , de laatste zowel als benzine als diesel ."
"motor/noun/ad19990123/10210"	3.07593619430659	5.78558672141119	"Uitgezonderd de 2,0 liter Xantia zijn alle voor dat geld voorzien van een 1,8 liter <font color=red><b>motor</b></font> ."
"motor/noun/ad19990123/10694"	13.2099164358829	41.5579414002222	"Gezien de prijs is deze 1,6 liter <font color=red><b>motor</b></font> aan de magere kant ."
"motor/noun/ad19990123/12685"	-9.8456073203323	29.0433539815607	"Op diezelfde auto waren meer nieuwtjes te vinden , zoals een zescilinder <font color=red><b>motor</b></font> en vierwielaandrijving ."
"motor/noun/ad19990130/12517"	18.8276192709251	14.60857963519	"G-lader Bij <font color=red><b>motoren</b></font> met dit concept stuwt een spiraalcompressor met de vorm van een G de inlaatlucht onder hoge druk naar binnen ."
"motor/noun/ad19990130/14764"	20.8136717759599	-1.45597420616638	"W12 <font color=red><b>motor</b></font> ."
"motor/noun/ad19990130/14777"	-2.86031353197372	11.8264122564544	"Krachtbron die bestaat uit twee aan elkaar gekoppelde V6 <font color=red><b>motoren</b></font> van Volkswagen ."
"motor/noun/ad19990130/4724"	-4.72885583526169	-8.24161784767127	"Er is keus uit een 2,4 liter viercilinder en een 3,4 liter V6 <font color=red><b>motor</b></font> ."
"motor/noun/ad19990130/5046"	22.5972922652428	-11.3586420686291	"Beschikbaar zijn drie <font color=red><b>motoren</b></font> : 1,6 liter , een 1,8 liter zestienklepper en een 2,0 liter diesel ( common-rail ) ."
"motor/noun/ad19990130/5176"	17.1136484433096	25.1814621428603	"Hij is 8 cm breder en 10 cm langer dan zijn voorganger en heeft dezelfde <font color=red><b>motor</b></font> als de Sirion en de nieuwe Cuore : 1,0 liter driecilinder met 4 kleppen per cilinder ."
"motor/noun/ad19990130/5293"	1.7111276614225	0.929018304447393	"Maar liefst twee nieuwe modellen bij Honda : de Logo en de HR-V. De compacte vijfzitter Logo heeft een 1,3 liter <font color=red><b>motor</b></font> en staat al op 8 februari in de showrooms ."
"motor/noun/ad19990130/5748"	2.42675059963603	-44.2286087529266	"De auto heeft een 2,0 liter zescilinder <font color=red><b>motor</b></font> met handgeschakelde zesbak of viertraps automaat ."
"motor/noun/ad19990130/6204"	-0.868326266062157	2.85821435043072	"Uitgesproken sportief is de GTI met 2,0 liter <font color=red><b>motor</b></font> ( 138 pk ) ."
"motor/noun/ad19990130/6502"	-14.9822293311566	-51.343211259731	"Er zijn drie uitvoeringen en vier <font color=red><b>motoren</b></font> , waaronder twee zescilinders en een 2,0 liter commonrail-diesel van BMW ."
"motor/noun/ad19990130/6794"	4.05804172306012	-11.1470444109323	"Hij heeft een zuinige 1,0 liter viercilinder <font color=red><b>motor</b></font> met 16 kleppen ( 68 pk ) met variabele nokkenasverstelling ."
"motor/noun/ad19990130/6860"	-26.9657380584039	5.64265435765254	"Temidden van de complete VW-familie , inclusief Lupo , Bora en New Beetle , staat de Volkswagen W12 , het studiemodel van een supersportwagen die zijn bestaan heeft te danken aan de spectaculaire <font color=red><b>motor</b></font> ."
