"topic"	"V1"	"V2"	"context"
"motor/noun/ad19990106/35802"	0.759866110435627	-52.7504120028409	"Bas Herweijer was gisteravond laat nog niet in het bivak gearriveerd door problemen met zijn <font color=red><b>motor</b></font> ."
"motor/noun/ad19990111/36091"	-13.1402369322092	-12.677018079319	"Kwam hij later op zijn gemakje aanrijden ; had hij eerst zijn <font color=red><b>motor</b></font> schoongespoten ."
"motor/noun/ad19990113/28764"	-11.8171629645104	-29.4532899360559	"Dat kan fatale gevolgen hebben voor de <font color=red><b>motor</b></font> ."
"motor/noun/ad19990114/34405"	16.97818014834	-8.5740037419451	"Het ` nationale belang ' als <font color=red><b>motor</b></font> van het buitenlandse beleid is onder zijn voorganger Van Mierlo voorzichtig aan het BZ-vocabulaire toegevoegd ."
"motor/noun/ad19990114/65141"	-13.4220808759614	-41.1343774541532	"Beiden vielen onderweg en moesten verder met zwaar beschadigde <font color=red><b>motoren</b></font> ."
"motor/noun/ad19990116/1181"	10.9542585837262	-25.7560514378437	"Niet alleen de <font color=red><b>motor</b></font> , ook de rijwind is te luidruchtig ."
"motor/noun/ad19990123/12685"	2.56085241920914	23.2584945465584	"Op diezelfde auto waren meer nieuwtjes te vinden , zoals een zescilinder <font color=red><b>motor</b></font> en vierwielaandrijving ."
"motor/noun/ad19990123/2985"	6.32602674270442	14.7777081997032	"" Daarop zag ik corrosie bij een van de <font color=red><b>motoren</b></font> ."
"motor/noun/ad19990123/3091"	-24.3450522014967	-28.6696796635119	"De ` scheve <font color=red><b>motor</b></font> ' raakte wat op de achtergrond , nadat was gebleken dat verarmd uranium aan boord was ."
"motor/noun/ad19990123/31786"	-40.8928544965086	-13.3654064521889	"Zo is het niet langer toegestaan de bal per auto of <font color=red><b>motor</b></font> te vervoeren : het bedierf het schouwspel voor het publiek . ""
"motor/noun/ad19990130/12418"	24.833652481726	29.3876410291872	"Geïntegreerd , door de computer bestuurd systeem grijpt in de <font color=red><b>motor</b></font> en remmen in om slippen te voorkomen ."
"motor/noun/ad19990130/20829"	-0.933729382806139	18.0570773947685	"Eerst zijn er foto's van de ramp-Boeing vóór vertrek , met scheve <font color=red><b>motor</b></font> ."
"motor/noun/ad19990130/2426"	9.49642375501868	35.3601456605387	"Ik denk dat er tegen die tijd milieuvriendelijke <font color=red><b>motoren</b></font> zijn die op water of zoiets lopen ."
"motor/noun/ad19990130/94369"	37.8513652039055	-16.167826123324	"Landré & Merrem heeft Omnilabo in Breda ( omzet ƒ20 miljoen , 32 mensen ) geheel overgenomen en Nedalco in Mijdrecht ( <font color=red><b>motoren</b></font> , ƒ60 miljoen ) voor 55 procent ."
"motor/noun/ad19990203/5803"	-41.0800549117596	8.62443551050724	"En zijn aanwijzingen gebagatelliseerd dat een van de <font color=red><b>motoren</b></font> vóór vertrek al scheef stond ?"
"motor/noun/ad19990204/49021"	-48.3363328766288	-1.17859502929239	"Schietgrage gekken met wapens in de aanslag , stomdronken snelheidsduivels gewoon op de <font color=red><b>motor</b></font> of een bejaard echtpaar dat probeert elkaar knock-out te slaan ."
"motor/noun/ad19990205/54211"	-8.42753832039959	-5.33277940663233	"Er was bekend dat er gevaarlijke stoffen in het toestel zaten , er was bekend dat niet een maar twee <font color=red><b>motoren</b></font> het begeven hadden ."
"motor/noun/ad19990208/48120"	-0.237463023509943	46.3851640651978	"Twijfel is de benzine in de filosofische <font color=red><b>motor</b></font> , de voedingsbodem bij uitstek van de filosofie ."
"motor/noun/ad19990209/36206"	13.1459152164665	-16.4047859541132	"De vorst bleek verschillende <font color=red><b>motoren</b></font> te bezitten en daar regelmatig mee te toeren ."
"motor/noun/ad19990212/12019"	-21.3411226632433	7.0740674792017	"In november kostte een kapotte <font color=red><b>motor</b></font> van een veerboot in ruwe zee aan 50 mensen het leven ."
"motor/noun/ad19990218/36284"	36.5837026786109	34.9882782925887	"Zodra de <font color=red><b>motor</b></font> is uitgeschakeld laat de stilte weer van zich horen ."
"motor/noun/ad19990220/1106"	1.8040195306408	16.5246774903286	"Werkelijk alle details zijn erin terug te vinden , zoals de lussen om je bij het instappen aan vast te houden , het volledige dashboardinstrumentarium , de <font color=red><b>motor</b></font> en zelfs de kleinste lampjes ."
"motor/noun/ad19990403/13090"	20.8600213814429	27.3212898167467	"Hij had deze zelf gebouwd en daarbij goed gebruik gemaakt van karton , breinaalden , hoedendozen , tweedehands elektrische <font color=red><b>motoren</b></font> , pianosnaren , lijm , touw , was en lenzen ."
"motor/noun/ad19990406/45374"	-29.5477492318244	11.3345178012397	"Ebeling reed mee in de 250cc-klasse om het Nederlands kampioenschap toen hij op de <font color=red><b>motor</b></font> in elkaar zakte en uit de bocht vloog ."
"motor/noun/ad19990410/1653"	-0.159884851669743	24.3030691097529	"Want onder het korte neusje met motorkap ligt helemaal geen <font color=red><b>motor</b></font> ."
"motor/noun/ad19990412/46414"	-12.7872722365319	3.31059817236706	"Op de Rue Valenciennes ( zone 24 ) scheuren de auto's en <font color=red><b>motoren</b></font> van MAVIC soepel voorbij ."
"motor/noun/ad19990412/47222"	-36.8945030211267	-15.6136610197792	"" Toen de onderkant van onze wagen over de kasseien schuurde , explodeerde de <font color=red><b>motor</b></font> . ""
"motor/noun/ad19990413/40914"	29.2941276838968	5.99434913305787	"Geen werkplaats , geen <font color=red><b>motor</b></font> , geen schroefje , geen moertje , helemaal niets ."
