"topic"	"V1"	"V2"	"context"
"motor/noun/ad19990114/74687"	-9.91642281926801	-30.1422064755004	"" Hmmm , de <font color=red><b>motor</b></font> was toch nog niet warm genoeg " , mompelt hij ."
"motor/noun/ad19990123/15692"	-39.1448934593281	-48.6839989214291	"Waar de coureurs in de Formule 1 op zo'n moment hun <font color=red><b>motoren</b></font> laten brullen , namen hier vrijwilligers de zemen lap ter hand om de daken van het laatste stof te ontdoen , zodat de zon met volle kracht kon inbranden op de zonnepanelen ."
"motor/noun/ad19990213/80613"	8.27824150271092	-25.2969842175452	"De <font color=red><b>motor</b></font> is krachtig genoeg om de 206 vlot door het verkeer te helpen ."
"motor/noun/ad19990220/6812"	11.4927856030295	-29.4938298046753	"De <font color=red><b>motoren</b></font> zijn krachtiger , maar op het gebied van de spreekwoordelijke Amerikaanse luxe laat het merk steekjes vallen ."
"motor/noun/ad19990401/47026"	-17.1651194590934	14.7447801453372	"De kleine <font color=red><b>motor</b></font> gromt op weg naar de kale , nog met sneeuw bedekte bergtoppen ."
"motor/noun/ad19990419/42678"	-31.5545043041748	-1.13404320916726	"" Je gaat toch geen gekke dingen doen ? " , vroeg Gerard Nijboer nog , die vanaf de <font color=red><b>motor</b></font> de Nederlanders begeleidde ."
"motor/noun/ad19990424/27123"	14.8098615752835	-58.3069701897414	"De 1,8 liter <font color=red><b>motor</b></font> doet z'n werk zoals het hoort ."
"motor/noun/ad19990515/16668"	24.5576889415992	-33.2051629294296	"Wanneer je de sleutel omdraait ( links , typisch Porsche ) is direct het kenmerkende donkere geluid van de <font color=red><b>motor</b></font> hoorbaar ."
"motor/noun/ad19990515/54597"	33.845666089739	-38.5936468974378	"Dat is de rust en de ontspanning , zodra de <font color=red><b>motor</b></font> z'n mond houdt en alleen het geluid van kabbelend of klotsend water tegen de romp te horen is ."
"motor/noun/ad19990529/80232"	12.9057857402567	-50.702477732625	"Fords grootste ruimtewagen is uitsluitend met één <font color=red><b>motor</b></font> leverbaar : een 3,0 liter zescilinder , altijd in combinatie met viertraps automaat , met de bedieningshendel aan de stuurkolom ."
"motor/noun/ad19990529/80269"	18.4275495821257	-11.787393176509	"De <font color=red><b>motor</b></font> houdt ` t graag bij lage toeren , is dan nauwelijks hoorbaar en heeft altijd voldoende trekkracht voorhanden ."
"motor/noun/ad19990529/81501"	31.4639298130753	-10.200022967742	"Op de snelweg maakt de <font color=red><b>motor</b></font> heel veel toeren en dat gaat gepaard met een hels kabaal ."
"motor/noun/ad19990529/83315"	11.1342690598813	-48.2627456411643	"Hiervoor koop je dan een tweedeurs wagen met een stevig ladderchassis en twee starre assen , een 80 pk sterke zestienkleps <font color=red><b>motor</b></font> van 1,3 liter ; in de iets duurdere versie komt daar een inschakelbare vierwielaandrijving bij ."
"motor/noun/ad19990605/53733"	61.824769314086	-0.090973848436436	"De <font color=red><b>motor</b></font> giert hoog in de toeren , zo hoog dat je denkt dat elk moment de motor zich zal opblazen ."
"motor/noun/ad19990607/38059"	-55.9352421961821	-5.52417618644134	"Plots week Capirossi , die linksachter Lucchi reed , uit naar rechts en vervolgens stuurde hij zijn <font color=red><b>motor</b></font> terug naar het midden van de baan ."
"motor/noun/ad19990607/38279"	-23.7834262933211	22.7123931560889	"Uit de opgenomen data - elke <font color=red><b>motor</b></font> heeft een zwarte doos aan boord die alles registreert - bleek namelijk dat Lucchi helemaal niet vertraagde en dat er van enige problemen geen sprake was ."
"motor/noun/ad19990607/38318"	-32.0857190559697	29.4841735026883	"De <font color=red><b>motor</b></font> maakte 12.000 toeren en reed 140 kilometer per uur ."
"motor/noun/ad19990616/33925"	35.3382142901431	-5.04545405031297	"Alleen 's zomers wil ik er wel eens een kort ritje in maken om de <font color=red><b>motor</b></font> even toeren te laten maken ."
"motor/noun/ad19990626/693"	11.4770876645787	-46.546233688295	"De versie met de 1.8 liter zestienkleps <font color=red><b>motor</b></font> klinkt goed en presteert navenant ."
"motor/noun/ad19990707/35090"	-4.89430997509564	23.1723211597866	"De tractor is omgeslagen en ik ben half onder de <font color=red><b>motor</b></font> terechtgekomen ."
"motor/noun/ad19990715/29186"	-4.59510165929733	61.8585584804429	"Het excuus : de <font color=red><b>motor</b></font> was defect ( in Nederland ) ."
"motor/noun/ad19990717/24572"	5.67296657956544	-19.1490463802986	"Bovendien is het verbruik acceptabel en de <font color=red><b>motor</b></font> is beslist niet rumoerig ."
"motor/noun/ad19990724/49234"	23.2715246690099	2.90089828730168	"Geen gegrom of droge roffel , maar een subtiel Japans motorgeluid stijgt op uit de achter de rug geplaatste <font color=red><b>motor</b></font> ."
