"topic"	"V1"	"V2"	"context"
"motor/noun/ad19990130/5748"	-20.0039506353933	-65.8965143756727	"De auto heeft een 2,0 liter zescilinder <font color=red><b>motor</b></font> met handgeschakelde zesbak of viertraps automaat ."
"motor/noun/ad19990211/20806"	-67.6040069776978	23.6393883658718	"Vanaf 1 april mogen luchtvaartmaatschappijen in Europa niet langer toestellen in gebruik nemen waarvan de oude <font color=red><b>motoren</b></font> zijn voorzien van geluiddempers , zogenaamde hush kits ."
"motor/noun/ad19990403/973"	-5.31691455730082	-16.7603544672632	"De fabriek Micro Compact Car ( MCC ) in Hambach in Frankrijk geeft zoetjesaan toe dat ` de Smart met de <font color=red><b>motor</b></font> achterin te duur is , te weinig vermogen heeft en dat z'n rij-eigenschappen problematisch zijn ' ."
"motor/noun/ad19990407/6643"	18.3164256414106	-14.7568251314157	"Behalve het geluid van de <font color=red><b>motoren</b></font> , zijn het ook de geluidsbandjes en luidsprekers op de boten die veel binnenstadbewoners hinderen ."
"motor/noun/ad19990410/2709"	-21.4869139843897	-21.7777317098686	"Maar bij de Yaris is er geen keus uit <font color=red><b>motoren</b></font> ."
"motor/noun/ad19990512/17764"	-43.7738696157743	-43.5293280072187	"De installatie van anti-diefstalchips bij bromscooters en <font color=red><b>motoren</b></font> stagneert ernstig , zo stelt de Stichting Aanpak Voertuigcriminaliteit ( AVC ) ."
"motor/noun/ad19990512/17877"	114.279631017032	-55.1589303382207	"Er rijden nauwelijks bromscooters en <font color=red><b>motoren</b></font> met tags , terwijl alle instanties er klaar voor zijn ."
"motor/noun/ad19990512/17919"	55.4446636443445	-27.3570589608901	"De chips die kunnen worden ingebracht in verschillende onderdelen van de bromscooters en <font color=red><b>motoren</b></font> moeten de voertuigen onaantrekkelijk maken voor dieven ."
"motor/noun/ad19990512/18314"	-20.7055681427921	17.6755541461277	"Alle <font color=red><b>motoren</b></font> en bromscooters met chips uitrusten is niet haalbaar . ""
"motor/noun/ad19990619/77113"	74.4240401608177	39.1019859208973	"De <font color=red><b>motor</b></font> van het midden- en kleinbedrijf ( mkb ) , al lange tijd een belangrijke schepper van banen , begint te haperen ."
"motor/noun/ad19990624/5819"	45.6967909572528	-31.1069649410436	"De politie test tijdens de TT in Assen een speciale scanner die gestolen <font color=red><b>motoren</b></font> moet opsporen ."
"motor/noun/ad19990624/5831"	42.4641852281152	-31.2809585246669	"Het apparaat geeft aan of een <font color=red><b>motor</b></font> is voorzien van een anti-diefstalchip ."
"motor/noun/ad19990624/5846"	48.941120071722	-27.9360546864857	"Die bevat een identificatienummer van de <font color=red><b>motor</b></font> en diens eigenaar ."
"motor/noun/ad19990624/5858"	49.749860677432	-25.1045615379262	"Zo hoopt de politie gestolen <font color=red><b>motoren</b></font> of onderdelen op te sporen ."
"motor/noun/ad19990628/18791"	-109.462910040352	7.28651659425879	"Voor de <font color=red><b>motor</b></font> waren niet alle onderdelen beschikbaar die Van den Goorbergh graag wilde , eveneens door de val ."
"motor/noun/ad19990703/67655"	-25.003554121033	-78.8628102043458	"Met z'n 12 pk sterke eencilinder viertakt <font color=red><b>motor</b></font> ( 250 cc ) was dit voor menigeen de eerste auto ."
"motor/noun/ad19990724/70713"	-21.2294559225528	-70.5145406823421	"Een andere nieuwe <font color=red><b>motor</b></font> betreft de 2,0 liter 16V benzinemotor met 140 pk ."
"motor/noun/ad19990724/71083"	-14.8312890782964	-41.8857272032752	"In Los Angeles is deze week een revolutionaire <font color=red><b>motor</b></font> gepresenteerd die nog maar 45 kilo weegt , drie bewegende onderdelen heeft en toch net zo krachtig is als een conventionele V8-motor ."
"motor/noun/ad19990724/71114"	31.6118352958989	16.4951260394926	"Een Autralische technicus heeft de <font color=red><b>motor</b></font> , OX2 genaamd , uitgevonden ."
"motor/noun/ad19990726/3607"	-15.2748024865006	33.6100920916953	"Bij 80 procent van de ongevallen ziet de automobilist de <font color=red><b>motor</b></font> over het hoofd ."
"motor/noun/ad19990825/5445"	-33.6993908008831	-4.89303951516666	"Een 22-jarige Rotterdammer is op de A20 bekeurd omdat zijn <font color=red><b>motor</b></font> was voorzien van een elektrisch omklapbare kentekenplaat ."
"motor/noun/ad19990916/32685"	-9.88832221048659	29.7770458433648	"Het herstel van de schade die veroorzaakt wordt door aanrijdingen van bromfietsen en -scooters onderling of van deze categorie met fietsers staat natuurlijk in geen verhouding tot de herstelkosten van de schade aan auto`s en <font color=red><b>motoren</b></font> als de bromfietser of bromscooterrijder schuld heeft aan dit gebeuren ."
"motor/noun/ad19990921/14825"	109.266248760572	-1.82681236339783	"Na de Tweede Wereldoorlog kwam de nadruk te liggen op <font color=red><b>motoren</b></font> voor straalvliegtuigen en raketten ."
"motor/noun/ad19990925/53736"	-26.8647599587514	-54.7272486134608	"Hij is net zo duur als de Scénic , maar heeft wel al vanaf de basis een potente 1,8 liter <font color=red><b>motor</b></font> in de aanbieding ."
"motor/noun/ad19991007/36215"	64.1954974501412	-69.5413119514847	"Wat dus resteert is de garantie van een jaar op <font color=red><b>motor</b></font> en versnellingsbak ."
"motor/noun/ad19991016/4398"	3.70507389249371	-6.5745958909098	"Zijn <font color=red><b>motor</b></font> , hoorde ik later , was een Sparta ."
"motor/noun/ad19991016/57997"	22.4634680285434	-77.5517521633111	"" Tot enkele jaren geleden kreeg je nog wel eens <font color=red><b>motoren</b></font> en brommers gratis aangeboden , als je hem maar kwam ophalen " , zegt Hans van Dissel van de Stichting Historische Motor Documentatie ."
"motor/noun/ad19991106/51362"	-37.1558196632067	38.8064186495651	"De Egyptische luchtvaartmaatschappij bestelde een recorder voor 55 categorieën data , waaronder gegevens over de brandstof , de status van de automatische piloot en brand in de <font color=red><b>motoren</b></font> ."
"motor/noun/ad19991211/47235"	-34.7824618155389	-62.0350545648243	"Opmerkelijk vonden wij , bij een eerste kennismaking , het pittige en soepele karakter van de vernieuwde 1,4 liter <font color=red><b>motor</b></font> ."
"motor/noun/ad19991223/72130"	15.9083347419688	6.18479279591754	"Wat de <font color=red><b>motor</b></font> waard is ?"
"motor/noun/ad19991230/42857"	60.4457812855796	-37.7524503396979	"De prijs voor het harde werken is de meest exclusieve nummerplaat voor de <font color=red><b>motor</b></font> , die met nummer één ."
"motor/noun/ad20000202/41715"	-16.9011478578236	30.5991018628421	"Metaalmoeheid is de oorzaak van het ongeval waarbij vrijdag een Rotterdamse metro twee <font color=red><b>motoren</b></font> verloor ."
"motor/noun/ad20000205/4343"	-81.0021605377407	52.4697746947729	"Met kleine motorische trillingen rond de 2500 tpm is prima te leven , maar het , vanwege de zwaardere <font color=red><b>motor</b></font> , iets minder strakke stuurkarakter is toch jammer ."
"motor/noun/ad20000222/12567"	-47.4119886774896	-73.1528155136927	"Voor Hans Spaan ( oud-TT-winnaar en tegenwoordig chef-monteur in het Rizla-team , red ) is het immers ook een nieuwe <font color=red><b>motor</b></font> ."
"motor/noun/ad20000222/12586"	-50.4694373978548	-75.6941999770704	"De <font color=red><b>motor</b></font> is nog niet 100 procent - er moeten nog belangrijke onderdelen uit Japan komen , waarmee ik er waarschijnlijk nog wel een seconde af kan krijgen - en ik ben zelf ook nog niet in topvorm ."
"motor/noun/ad20000310/233"	-5.20430913252338	60.8989419353206	"Op een landbouwperceel probeerde hij een aan de tractor gekoppelde mestverspreider te repareren , waarbij hij verzuimde de <font color=red><b>motor</b></font> uit te zetten ."
"motor/noun/ad20000311/37372"	-11.6971381045238	-5.13942639561079	"Een Italiaanse monteur staat voor hem klaar , de <font color=red><b>motor</b></font> wordt voor hem geprepareerd , hij hoeft zich om niets anders druk te maken dan het crossen ."
"motor/noun/ad20000311/39049"	-48.9997828919394	-20.2123593507837	"Wanneer De Groot de testresultaten van TNO hoort , zegt hij nog steeds niet te weten of het beter voor je <font color=red><b>motor</b></font> is ."
"motor/noun/ad20000325/49148"	10.1205908815461	-2.0120074973765	"Wat de Agila in ieder geval voor heeft op de Suzuki , is de geruisloze <font color=red><b>motor</b></font> ."
"motor/noun/ad20000327/6080"	58.707805388692	63.2389536513812	"Als het plan doorgaat , wordt de vierzitter gemaakt op basis van de <font color=red><b>motoren</b></font> en onderdelen van de kleine Mitsubishi-modellen Minica en Topo ."
"motor/noun/ad20000407/44543"	48.2726318391878	-11.4144103463883	"Twee mannen vluchten op een <font color=red><b>motor</b></font> ."
"motor/noun/ad20000510/24831"	18.6192152937077	-23.6676885610919	"- Zo'n heerser als hij is op de <font color=red><b>motor</b></font> in het wielerpeloton , zo hulpeloos hangt dat lange lijf van Willy Wauthlé ( 45 ) in t-shirt , trainingsbroek en slippers ."
"motor/noun/ad20000510/25742"	4.70070824910964	-89.0862692648492	"Als je zo doorgaat , schop ik je van de <font color=red><b>motor</b></font> af ."
"motor/noun/ad20000525/16090"	39.133706257078	23.8832111155605	"Onder meer het huis , de <font color=red><b>motor</b></font> , pomp , talloze kleinere onderdelen en ook het elektronisch hart van de machine zijn identiek ."
"motor/noun/ad20000525/44065"	-55.2825753018419	13.5146732136941	"En uiteraard <font color=red><b>motor</b></font> achter de legendarische Monthy Python-ploeg die de spreektaal voorzag van gevleugelde gezegdes als : And now for something completely different ."
"motor/noun/ad20000613/41134"	-2.81550823342496	15.4054661557202	"Bij het uitkomen van een tunnel boorde de wagen zich met zo veel vaart in een muur , dat de <font color=red><b>motor</b></font> 150 meter werd weggeslingerd en op de andere weghelft terechtkwam ."
"motor/noun/ad20000722/15138"	48.1730435749966	72.9515674268599	"Deze maand klaagden klanten bij het Japanse ministerie van transport steen en been over defecten aan <font color=red><b>motoren</b></font> , remmen , benzinetanks en andere onderdelen ."
"motor/noun/ad20000727/41243"	-45.5356727196927	9.67812173054987	"" Ik rijd de komende twee jaar voor Jordan en voor Honda , die ons vanaf volgend jaar voorziet van nieuwe <font color=red><b>motoren</b></font> " , aldus Frentzen ."
"motor/noun/ad20000805/40319"	18.5993053112623	11.8996283552026	"Nét even tien meter de <font color=red><b>motor</b></font> hard zetten en uit die dikke rij wegkomen . ""
"motor/noun/ad20000819/25184"	53.0816318013894	75.0504485004098	"" Er is vraag naar en het revisieproces van de versnellingsbak lijkt in veel opzichten op dat van de <font color=red><b>motor</b></font> ."
"motor/noun/ad20000819/25507"	-21.2006430644096	-34.1897888891256	"VEGE verkocht het afgelopen jaar in Nederland bijna 10.000 gereviseerde <font color=red><b>motoren</b></font> en cilinderkoppen aan 7000 garages ."
"motor/noun/ad20000822/42111"	-50.327971352706	-23.8338398715491	"Navraag bij Safe Motors , de grootste vertegenwoordiger op het gebied van <font color=red><b>motoren</b></font> en motoraccessoires in Nederland , leert dat vrouwen zich in toenemende mate tot de motorfiets voelen aangetrokken ."
"motor/noun/ad20000822/42629"	13.8021469569055	19.0268604593796	"Dankzij een Nederlandse firma die aangepaste <font color=red><b>motoren</b></font> voor gehandicapten maakt , rijdt hij weer ."
"motor/noun/ad20000826/34596"	-31.4391300389035	-60.1517830347081	"De 2,0 liter <font color=red><b>motor</b></font> is buitengewoon krachtig ."
"motor/noun/ad20000909/23559"	60.185161620851	29.9493785498889	"Als het goed gaat in de wereld , is er natuurlijk veel olie nodig om de <font color=red><b>motor</b></font> draaiende te houden ."
"motor/noun/ad20000930/1446"	-25.9451601292483	-64.251075369792	"De <font color=red><b>motoren</b></font> , beginnend met de 1,0 liter acht- of zestienklepper , zijn aanmerkelijk zuiniger ."
"motor/noun/ad20001012/24342"	44.5627712917497	-62.8346229313501	"Hieronder vallen bedragen op (spaar)rekening en de verkoopwaarde van bezittingen als auto , <font color=red><b>motor</b></font> en caravan ."
