token	label	LeNC44.L1LLRx5.x	LeNC44.L1LLRx5.y	LeNC77.L1LLR.x	LeNC77.L1LLR.y	LeNC44.L1LLR.x	LeNC44.L1LLR.y	LeNC77.L1LLRx5.x	LeNC77.L1LLRx5.y	LeNC44.ppmi.x	LeNC44.ppmi.y	LeNC77.ppmi.x	LeNC77.ppmi.y	text
parachute/noun/BL_19990517_01/775	a	6.22962820925	-0.486106082977	-5.82693264712	2.50860408721	-5.7587546154	6.29939551256	6.10564075398	-2.89814531405	-3.03228617347	-3.85921514765	2.37360006849	7.94261812899	"Dit omdat de <font color=""red"">parachute</font> in geval van nood - op basis van de hoogte ( 750 voet ) en de valsnelheid ( 35 meter per seconde ) - automatisch opengaat ."
parachute/noun/ad20030730/6175	a	-0.931993641316	1.87837029279	1.81998798618	-0.152889824537	-1.45854215478	0.141391114949	-0.330230321476	-0.129344974761	1.61925110782	-2.00878250968	-0.130010014161	3.69652693117	"Daar moet hij nabij Cap Blanc-Nez landen met een <font color=""red"">parachute</font> ."
parachute/noun/ad20040108/13448	a	-3.13044472642	-2.29226801712	0.601437558091	3.69888912681	5.17573845701	-0.351118974304	-0.817342396548	3.80247734447	-0.805060701188	2.33551629629	-2.79411063211	-4.61950966935	"ESA hoopt dat dan de <font color=""red"">parachutes</font> en airbags zijn te zien ."
parachute/noun/ad20040508/72092	a	0.521454001914	0.471731903816	0.122763660267	-0.17251399822	0.427352949935	0.493943669768	0.95577936577	-0.30612377394	-0.230740029162	0.964145590928	0.115136054951	0.101176659118	"oefening zijn <font color=""red"">parachute</font> niet open en belandt op een auto ."
parachute/noun/ad20040607/22705	a	-1.91013728008	-1.88813102843	-1.21255601214	1.7048489061	3.09066728321	-2.10556629525	1.53671285873	2.49378019239	-0.539589985205	1.28187561383	-0.129152131529	-0.160980607665	"Een 27-jarige parachutist uit Eindhoven is zaterdagmiddag bij vliegveld Lelystad zwaargewond geraakt nadat zijn <font color=""red"">parachute</font> maar gedeeltelijk opgenging ."
parachute/noun/nrc19990712/422	a	-1.08619156568	-0.573205646106	1.18269692687	1.89787305984	0.713506181987	-1.20722779205	0.0406364197261	2.06464750727	-0.116329328967	0.250110649043	-0.165570724571	0.62599388254	"Ik kijk naar buiten en zie de mussen met <font color=""red"">parachutes</font> naar beneden komen , kortom : mooi weer om mijn ski's uit het vet te halen en me naar de overdekte skibaan in Zoetermeer te begeven ."
parachute/noun/nrc20000114/32032	a	-0.363877564739	2.20895845893	1.801783198	-0.462821622057	-1.43663303644	0.773266356113	-0.785130346452	-0.54444538253	1.22577603201	0.608695608989	1.75434679615	0.779869761368	"Ook dat wordt snel opgelost ; na een minuut of vijf duikelt er een wolk van witte <font color=""red"">parachutes</font> door de lucht met zwarte poppen eraan ."
parachute/noun/nrc20000720/43854	a	-0.161745028173	1.67806704293	1.31090492473	-0.185066407356	-0.685189634399	0.823314914006	-0.0968586764041	-0.214953434621	1.26964485897	0.156644709046	1.97956836107	1.71572427461	"Nieuw zijn de tandemparachutesprongen : het is mogelijk om vanaf vliegveld Emmeloord/Lelystad op te stijgen voor een vrije val met instructeur en <font color=""red"">parachute</font> boven Joure ."
parachute/noun/nrc20010419/33655	a	0.574955325369	-0.292851514127	-0.131504012194	0.730688561362	1.38437316415	-0.102868320592	1.08178298374	0.764759721116	-0.515017365512	0.24801923346	-0.849610730435	0.268957258739	"Yoshinori Kon , die aan de academie in Düsseldorf studeerde bij de beroemde fotograaf Bernd Becher , maakte een video waarin hij de ervaring verbeeldt van een man die , toen zijn <font color=""red"">parachute</font> zich bij een sprong niet opende , in enkele seconden zijn leven in beelden herbeleefde ."
parachute/noun/nrc20010511/94316	a	3.5215194129	5.07196389163	3.2297939277	2.89242194864	-3.64450741453	6.14370471449	-2.25315402073	3.15003312198	2.92743583265	3.54369845331	1.4111704961	-3.15579336309	"Soms zijn de beelden , bij voorbeeld van per <font color=""red"">parachute</font> afgeworpen kunstbenen , zo intrigerend als je van Makhmalbaf verwachten mag , maar vaak neigt het betoog - en het onhandige acteren - naar boodschapperige larmoyantie ."
